unit_id	unit_kind_check	topic_primary	topic_secondary	statement_type	unclear	notes
baitaq-0268	substantive	T10	T13	description	0	Чили
baitaq-0269	substantive	T10		description	0	задача Президента 5% ВВП
baitaq-0270	substantive	T10		problem	0	
baitaq-0271	substantive	T10	T03	problem	0	
baitaq-0272	substantive	T03		description	0	
baitaq-0273	fragment				0	продолжение 0272
baitaq-0274	substantive	T10	T03	problem	0	
baitaq-0275	substantive	T10	T03	problem	0	недофинансирование 366 млрд
baitaq-0276	substantive	T10		problem	0	
baitaq-0277	substantive	T10		problem	0	ФСМС
baitaq-0278	substantive	T10		problem	0	рост частных расходов
baitaq-0279	substantive	T10		problem	0	
baitaq-0280	substantive	T10	T03	description	0	
baitaq-0281	fragment				0	продолжение 0280
baitaq-0282	fragment				0	продолжение 0281
baitaq-0283	substantive	T10		problem	0	
baitaq-0284	substantive	T10		problem	0	болезни системы кровообращения
baitaq-0285	substantive	T10		problem	0	диабет, онкология
baitaq-0286	substantive	T10	T13	problem	0	60-е место в Numbeo
baitaq-0287	substantive	T10		goal	0	
baitaq-0288	substantive	T03	T04	instrument	0	источник — реформа «Самрук-Қазына»
baitaq-0289	substantive	T10	T03	instrument	0	5% ВВП к концу созыва
baitaq-0290	substantive	T10	T03	instrument	0	доля в Бюджетном кодексе
baitaq-0291	substantive	T10		instrument	0	погашение долга перед ФСМС
baitaq-0292	substantive	T10		instrument	0	
baitaq-0293	substantive	T10		instrument	0	оплата по результату
baitaq-0294	substantive	T10		problem	0	приписки
baitaq-0295	substantive	T10	T13	description	0	опыт Тайваня и Кореи
baitaq-0296	substantive	T10	T04	instrument	0	зарплаты медиков
baitaq-0297	substantive	T10		problem	0	
baitaq-0298	substantive	T10	T08	instrument	0	модернизация поликлиник в малых городах
baitaq-0299	substantive	T10		goal	0	
baitaq-0300	substantive	T10		instrument	0	жизненно важные лекарства
baitaq-0301	substantive	T10	T06	instrument	0	раннее выявление онкологии
baitaq-0302	structural				0	заголовок, обрыв вёрстки
baitaq-0303	structural				0	заголовок раздела IV
baitaq-0304	substantive	T08		description	0	80% в городах к 2050
baitaq-0305	substantive	T08		description	0	
baitaq-0306	substantive	T08		goal	0	
baitaq-0307	substantive	T08		problem	0	ЖК без школ и поликлиник
baitaq-0308	fragment				0	продолжение 0307
baitaq-0309	fragment				0	продолжение 0307
baitaq-0310	substantive	T08	T06	problem	0	смог в Алматы, ветер в Астане
baitaq-0311	substantive	T08	T13	description	0	
baitaq-0312	substantive	T08	T13	description	0	Париж
baitaq-0313	substantive	T08	T13	description	0	Вена, социальное арендное жильё
baitaq-0314	substantive	T08	T13	description	0	Барселона, Милан, Богота, Сеул
baitaq-0315	substantive	T08		goal	0	конец точечной застройки
baitaq-0316	substantive	T08		problem	0	
baitaq-0317	substantive	T08		problem	0	
baitaq-0318	substantive	T06	T08	problem	0	60–70% выбросов от автомобилей
baitaq-0319	substantive	T08		goal	0	
baitaq-0320	substantive	T06	T08	description	0	
baitaq-0321	substantive	T06		description	0	разница температуры 5 градусов
baitaq-0322	substantive	T06	T10	problem	0	
baitaq-0323	substantive	T08		problem	0	ипотека или аренда
baitaq-0324	fragment				0	продолжение 0323
baitaq-0325	fragment				0	вводная фраза к 0326
baitaq-0326	substantive	T08		description	0	стоимость аренды
baitaq-0327	substantive	T08		description	0	274 тысячи в Алматы
baitaq-0328	fragment				0	продолжение 0327
baitaq-0329	substantive	T08	T04	problem	0	60% дохода на аренду
baitaq-0330	substantive	T08		problem	0	
baitaq-0331	substantive	T04		problem	0	
baitaq-0332	substantive	T08		problem	0	
baitaq-0333	substantive	T08	T03	problem	0	платёж 140–280 тысяч на 20–25 лет
baitaq-0334	substantive	T08		problem	0	
baitaq-0335	lead_in				0	риторический вопрос, вводит 0337
baitaq-0336	substantive	T08		problem	0	переплата в 1,5–2 раза
baitaq-0337	substantive	T08	T03	problem	0	выгодополучатели — застройщики и банки
baitaq-0338	fragment				0	продолжение 0337
baitaq-0339	substantive	T08	T03	problem	0	
baitaq-0340	substantive	T08	T13	goal	0	государственное арендное жильё
baitaq-0341	substantive	T08	T13	description	0	Вена
baitaq-0342	substantive	T08	T13	description	0	Сингапур, HDB
baitaq-0343	substantive	T08	T13	description	0	Германия, Нидерланды, Финляндия, Швеция
baitaq-0344	substantive	T08		description	0	
baitaq-0345	substantive	T08		problem	0	
baitaq-0346	substantive	T08		problem	0	Отбасы банк
baitaq-0347	substantive	T08		problem	0	
baitaq-0348	substantive	T08		description	0	
baitaq-0349	fragment				0	продолжение 0348
baitaq-0350	substantive	T08		goal	0	
baitaq-0351	substantive	T08		commitment	0	запрет точечной застройки
baitaq-0352	substantive	T08		instrument	0	
baitaq-0353	substantive	T08	T11	instrument	0	нормативы доступности
baitaq-0354	substantive	T08	T13	description	0	«15-минутный город»
baitaq-0355	substantive	T08	T09	instrument	0	участки многодетным и одиноким матерям
baitaq-0356	substantive	T08		commitment	0	госпрограмма арендного жилья
baitaq-0357	substantive	T08		instrument	0	30 тысяч квартир в год
baitaq-0358	substantive	T08		commitment	0	аренда не более 25% медианной зарплаты
baitaq-0359	substantive	T08	T09	description	0	
baitaq-0360	substantive	T08	T09	instrument	0	приоритет в очереди; отклонён из переписи T15
baitaq-0361	substantive	T08		commitment	0	запрет продажи арендного жилья
baitaq-0362	substantive	T08		goal	0	
baitaq-0363	substantive	T08		commitment	0	земля госфонда под арендное жильё
baitaq-0364	substantive	T08	T06	commitment	0	общественный транспорт, электробусы
baitaq-0365	substantive	T08		goal	0	
baitaq-0366	substantive	T08		commitment	0	многоуровневые парковки
baitaq-0367	substantive	T08		description	0	
baitaq-0368	substantive	T06	T08	commitment	0	озеленение с гарантийным уходом
baitaq-0369	substantive	T06		problem	0	
baitaq-0370	substantive	T06		instrument	0	цена вырубки взрослого дерева
baitaq-0371	substantive	T06		problem	0	
baitaq-0372	substantive	T08	T06	instrument	0	парки как стандарт района
baitaq-0373	substantive	T08	T02	instrument	0	освещение дворов
baitaq-0374	substantive	T01	T08	instrument	0	право блокировать градостроительные решения
baitaq-0375	substantive	T08		description	0	
baitaq-0376	fragment				0	продолжение 0375
baitaq-0377	substantive	T08	T00	goal	0	
baitaq-0378	substantive	T08		commitment	0	
baitaq-0379	structural				0	заголовок раздела V
baitaq-0380	substantive	T02		goal	0	
baitaq-0381	substantive	T02		instrument	0	уголовная ответственность юрлиц
baitaq-0382	substantive	T02	T13	instrument	0	статья 20 Конвенции ООН
baitaq-0383	substantive	T02		instrument	0	незаконное обогащение
baitaq-0384	substantive	T01	T03	instrument	0	прозрачные бюджеты
baitaq-0385	substantive	T00	T01	commitment	0	пилотные открытые бюджеты
baitaq-0386	substantive	T02		goal	0	бытовая коррупция
baitaq-0387	substantive	T01		description	0	ДЕФЕКТ: заголовок «Участие» слился с текстом
baitaq-0388	substantive	T01		description	0	
baitaq-0389	substantive	T06	T01	description	0	
baitaq-0390	substantive	T01		problem	0	
baitaq-0391	substantive	T01		goal	0	
baitaq-0392	substantive	T01		goal	0	
baitaq-0393	structural				0	П-01: название меры, содержание в 0394
baitaq-0394	substantive	T06	T01	instrument	0	Народные экологические советы
baitaq-0395	substantive	T06	T01	instrument	0	состав советов; отклонён из переписи T15
baitaq-0396	substantive	T06	T01	instrument	0	
baitaq-0397	substantive	T01		instrument	0	общественные слушания
baitaq-0398	substantive	T06	T01	instrument	0	общественная экспертиза промышленных проектов
baitaq-0399	structural				0	заголовок, обрыв вёрстки
baitaq-0400	structural				0	заголовок «Чего мы не обещаем»
baitaq-0401	substantive	T00		description	0	
baitaq-0402	substantive	T00		description	0	
baitaq-0403	substantive	T00		description	0	не обещаем решить всё за созыв
baitaq-0404	substantive	T00		description	0	
baitaq-0405	substantive	T06	T00	description	0	не обещаем чудес от зелёной экономики
baitaq-0406	substantive	T06		description	0	
baitaq-0407	substantive	T00		description	0	
baitaq-0408	substantive	T00		commitment	0	продолжение в 0409
baitaq-0409	fragment				0	продолжение 0408
baitaq-0410	rhetorical				0	
baitaq-0411	substantive	T00	T06	description	0	
baitaq-0412	substantive	T00		description	0	
baitaq-0413	substantive	T00		description	0	филиалы, депутаты в маслихатах
baitaq-0414	substantive	T00	T06	description	0	
baitaq-0415	substantive	T00		description	0	
baitaq-0416	substantive	T01	T00	description	0	порог пяти процентов
baitaq-0417	substantive	T06	T01	goal	0	
baitaq-0418	rhetorical				0	
baitaq-0419	substantive	T00		goal	0	
baitaq-0420	rhetorical				0	
